step,reward
2500,-35.400001525878906
5000,-33.599998474121094
7500,-19.200000762939453
10000,-10.399999618530273
12500,-14.0
15000,-14.199999809265137
17500,-11.800000190734863
20000,-14.0
22500,-28.399999618530273
25000,-10.800000190734863
27500,-23.399999618530273
30000,-25.600000381469727
32500,-15.399999618530273
35000,-25.600000381469727
37500,-5.0
40000,-18.399999618530273
42500,-13.800000190734863
45000,-10.800000190734863
47500,-3.5999999046325684
50000,-12.0
52500,-16.0
55000,-7.199999809265137
57500,-18.399999618530273
60000,-17.399999618530273
62500,-6.199999809265137
65000,-26.0
67500,-14.199999809265137
70000,-10.199999809265137
72500,-12.199999809265137
75000,-7.800000190734863
77500,-15.600000381469727
80000,-10.600000381469727
82500,-12.399999618530273
85000,-15.399999618530273
87500,-12.0
90000,-30.0
92500,-18.799999237060547
95000,-17.399999618530273
97500,-17.799999237060547
100000,-11.800000190734863
102500,-23.200000762939453
105000,-12.199999809265137
107500,-19.799999237060547
110000,-17.0
112500,-10.0
115000,-9.0
117500,-16.200000762939453
120000,-23.0
122500,-25.200000762939453
125000,-12.800000190734863
127500,-18.600000381469727
130000,-9.199999809265137
132500,-14.199999809265137
135000,-14.399999618530273
137500,-10.0
140000,-12.600000381469727
142500,-18.399999618530273
145000,-25.799999237060547
147500,-22.399999618530273
150000,-30.0
152500,-31.0
155000,-30.399999618530273
157500,-27.799999237060547
160000,-31.399999618530273
162500,-28.200000762939453
165000,-28.799999237060547
167500,-29.200000762939453
170000,-24.399999618530273
172500,-15.399999618530273
175000,-30.799999237060547
177500,-29.200000762939453
180000,-21.399999618530273
182500,-27.399999618530273
185000,-25.600000381469727
187500,-31.600000381469727
190000,-31.799999237060547
192500,-29.0
195000,-29.200000762939453
197500,-27.200000762939453
200000,-25.799999237060547
202500,-28.200000762939453
205000,-27.0
207500,-27.799999237060547
210000,-35.79999923706055
212500,-19.799999237060547
215000,-32.0
217500,-34.0
220000,-32.20000076293945
222500,-17.200000762939453
225000,-22.600000381469727
227500,-27.600000381469727
230000,-25.600000381469727
232500,-29.0
235000,-35.0
237500,-13.199999809265137
240000,-34.599998474121094
242500,-26.0
245000,-23.399999618530273
247500,-23.399999618530273
250000,-23.399999618530273
252500,-26.0
255000,-26.600000381469727
257500,-27.799999237060547
260000,-29.200000762939453
262500,-24.799999237060547
265000,-27.200000762939453
267500,-24.600000381469727
270000,-32.400001525878906
272500,-27.200000762939453
275000,-22.399999618530273
277500,-26.600000381469727
280000,-36.400001525878906
282500,-27.600000381469727
285000,-25.0
287500,-26.399999618530273
290000,-41.0
292500,-32.20000076293945
295000,-31.399999618530273
297500,-29.799999237060547
300000,-24.200000762939453
302500,-27.200000762939453
305000,-31.600000381469727
307500,-32.79999923706055
310000,-29.200000762939453
312500,-26.0
315000,-32.20000076293945
317500,-26.200000762939453
320000,-25.200000762939453
322500,-18.200000762939453
325000,-22.200000762939453
327500,-27.399999618530273
330000,-25.0
332500,-23.399999618530273
335000,-26.600000381469727
337500,-31.0
340000,-19.799999237060547
342500,-28.799999237060547
345000,-22.799999237060547
347500,-26.799999237060547
350000,-28.399999618530273
352500,-28.399999618530273
355000,-26.399999618530273
357500,-31.799999237060547
360000,-30.200000762939453
362500,-32.20000076293945
365000,-26.600000381469727
367500,-25.399999618530273
370000,-23.600000381469727
372500,-34.20000076293945
375000,-25.200000762939453
377500,-24.399999618530273
380000,-31.799999237060547
382500,-36.599998474121094
385000,-17.399999618530273
387500,-17.200000762939453
390000,-21.600000381469727
392500,-17.0
395000,-34.79999923706055
397500,-38.79999923706055
400000,-29.0
402500,-16.799999237060547
405000,-23.200000762939453
407500,-38.0
410000,-31.200000762939453
412500,-38.79999923706055
415000,-30.0
417500,-27.799999237060547
420000,-37.599998474121094
422500,-30.200000762939453
425000,-27.799999237060547
427500,-18.799999237060547
430000,-29.200000762939453
432500,-27.0
435000,-28.399999618530273
437500,-23.799999237060547
440000,-27.0
442500,-28.0
445000,-23.0
447500,-27.0
450000,-30.200000762939453
452500,-21.799999237060547
455000,-20.200000762939453
457500,-31.799999237060547
460000,-28.799999237060547
462500,-31.600000381469727
465000,-21.399999618530273
467500,-21.399999618530273
470000,-23.0
472500,-33.20000076293945
475000,-15.0
477500,-27.0
480000,-34.79999923706055
482500,-25.200000762939453
485000,-29.600000381469727
487500,-12.600000381469727
490000,-9.199999809265137
492500,-14.800000190734863
495000,-33.20000076293945
497500,-29.600000381469727
500000,-39.79999923706055
502500,-18.0
505000,-24.799999237060547
507500,-16.399999618530273
510000,-19.0
512500,-21.799999237060547
515000,-18.200000762939453
517500,-15.199999809265137
520000,-36.400001525878906
522500,-29.399999618530273
525000,-23.399999618530273
527500,-31.399999618530273
530000,-27.799999237060547
532500,-25.399999618530273
535000,-24.799999237060547
537500,-19.200000762939453
540000,-14.600000381469727
542500,-31.399999618530273
545000,-23.0
547500,-24.799999237060547
550000,-23.600000381469727
552500,-24.399999618530273
555000,-20.399999618530273
557500,-26.799999237060547
560000,-20.600000381469727
562500,-30.200000762939453
565000,-24.399999618530273
567500,-20.200000762939453
570000,-22.799999237060547
572500,-20.600000381469727
575000,-31.200000762939453
577500,-24.200000762939453
580000,-26.799999237060547
582500,-21.399999618530273
585000,-24.799999237060547
587500,-22.399999618530273
590000,-23.600000381469727
592500,-26.200000762939453
595000,-26.799999237060547
597500,-23.799999237060547
600000,-30.799999237060547
602500,-24.200000762939453
605000,-25.600000381469727
607500,-24.600000381469727
610000,-19.0
612500,-23.600000381469727
615000,-27.0
617500,-25.600000381469727
620000,-26.600000381469727
622500,-24.200000762939453
625000,-25.200000762939453
627500,-23.0
630000,-30.200000762939453
632500,-30.600000381469727
635000,-20.200000762939453
637500,-30.600000381469727
640000,-5.599999904632568
642500,-31.600000381469727
645000,-33.20000076293945
647500,-29.600000381469727
650000,-26.0
652500,-27.799999237060547
655000,-40.0
657500,-25.0
660000,-29.399999618530273
662500,-16.799999237060547
665000,-25.799999237060547
667500,-16.200000762939453
670000,-24.600000381469727
672500,-26.0
675000,-25.200000762939453
677500,-34.599998474121094
680000,-29.399999618530273
682500,-17.0
685000,-20.0
687500,-25.399999618530273
690000,-29.799999237060547
692500,-25.799999237060547
695000,-22.0
697500,-20.399999618530273
700000,-22.399999618530273
702500,-33.400001525878906
705000,-29.600000381469727
707500,-13.399999618530273
710000,-24.799999237060547
712500,-24.799999237060547
715000,-13.0
717500,-17.799999237060547
720000,-23.399999618530273
722500,-22.0
725000,-19.399999618530273
727500,-26.399999618530273
730000,-22.799999237060547
732500,-25.799999237060547
735000,-25.799999237060547
737500,-29.600000381469727
740000,-28.200000762939453
742500,-32.400001525878906
745000,-22.399999618530273
747500,-19.200000762939453
750000,-18.399999618530273
752500,-22.600000381469727
755000,-27.399999618530273
757500,-28.799999237060547
760000,-25.399999618530273
762500,-22.799999237060547
765000,-19.600000381469727
767500,-12.800000190734863
770000,-20.0
772500,-13.399999618530273
775000,-25.799999237060547
777500,-32.599998474121094
780000,-18.200000762939453
782500,-15.800000190734863
785000,-20.799999237060547
787500,-34.0
790000,-28.399999618530273
792500,-30.200000762939453
795000,-33.0
797500,-25.600000381469727
800000,-22.200000762939453
802500,-24.600000381469727
805000,-25.200000762939453
807500,-28.200000762939453
810000,-25.799999237060547
812500,-29.799999237060547
815000,-22.799999237060547
817500,-13.600000381469727
820000,-28.799999237060547
822500,-33.599998474121094
825000,-20.799999237060547
827500,-24.600000381469727
830000,-9.800000190734863
832500,-27.799999237060547
835000,-16.399999618530273
837500,-22.0
840000,-20.399999618530273
842500,-26.200000762939453
845000,-25.0
847500,-19.799999237060547
850000,-29.799999237060547
852500,-16.200000762939453
855000,-14.800000190734863
857500,-20.0
860000,-30.200000762939453
862500,-23.600000381469727
865000,-21.0
867500,-31.399999618530273
870000,-25.799999237060547
872500,-24.799999237060547
875000,-15.600000381469727
877500,-14.199999809265137
880000,-19.0
882500,-24.200000762939453
885000,-25.600000381469727
887500,-26.200000762939453
890000,-28.600000381469727
892500,-31.0
895000,-20.399999618530273
897500,-24.600000381469727
900000,-26.799999237060547
902500,-22.799999237060547
905000,-9.600000381469727
907500,-20.200000762939453
910000,-24.200000762939453
912500,-29.600000381469727
915000,-20.399999618530273
917500,-24.799999237060547
920000,-14.800000190734863
922500,-35.0
925000,-25.0
927500,-15.0
930000,-20.0
932500,-30.0
935000,-25.0
937500,-35.0
940000,-30.0
942500,-15.0
945000,-25.0
947500,-15.0
950000,-30.0
952500,-20.0
955000,-15.0
957500,-30.0
960000,-40.0
962500,-25.0
965000,-30.0
967500,-25.0
970000,-40.0
972500,-25.0
975000,-20.0
977500,-10.0
980000,-35.0
982500,-20.0
985000,-25.0
987500,-20.0
990000,-35.0
992500,-25.0
995000,-40.0
997500,-35.0
1000000,-30.0
1002500,-45.0
1005000,-25.0
1007500,-40.0
1010000,-30.0
1012500,-25.0
1015000,-30.0
1017500,-25.0
1020000,-20.0
1022500,-25.0
1025000,-30.0
1027500,-20.0
1030000,-35.0
1032500,-15.0
1035000,-25.0
1037500,-15.0
1040000,-25.0
1042500,-30.0
1045000,-25.0
1047500,-25.0
1050000,-35.0
1052500,-10.0
1055000,-20.0
1057500,-30.0
1060000,-20.0
1062500,-15.0
1065000,-40.0
1067500,-15.0
1070000,-40.0
1072500,-15.0
1075000,-30.0
1077500,-10.0
1080000,-35.0
1082500,-10.0
1085000,-25.0
1087500,-25.0
1090000,-20.0
1092500,-20.0
1095000,-20.0
1097500,-25.0
1100000,-30.0
1102500,-20.0
1105000,-30.0
1107500,-30.0
1110000,-20.0
1112500,-30.0
1115000,-15.0
1117500,-30.0
1120000,-15.0
1122500,-25.0
1125000,-30.0
1127500,-30.0
1130000,-30.0
1132500,-20.0
1135000,-30.0
1137500,-35.0
1140000,-20.0
1142500,-15.0
1145000,-25.0
1147500,-25.0
1150000,-40.0
1152500,-30.0
1155000,-30.0
1157500,-15.0
1160000,-10.0
1162500,-25.0
1165000,-20.0
1167500,-30.0
1170000,-25.0
1172500,-30.0
1175000,-5.0
1177500,-15.0
1180000,-20.0
1182500,-25.0
1185000,-30.0
1187500,-20.0
1190000,-25.0
1192500,-20.0
1195000,-50.0
1197500,-35.0
1200000,-40.0
1202500,-25.0
1205000,-20.0
1207500,-25.0
1210000,-40.0
1212500,-30.0
1215000,-20.0
1217500,-35.0
1220000,-30.0
1222500,-20.0
1225000,-20.0
1227500,-30.0
1230000,-10.0
1232500,-20.0
1235000,-15.0
1237500,-15.0
1240000,-20.0
1242500,-30.0
1245000,-35.0
1247500,-15.0
1250000,-25.0
1252500,-20.0
1255000,-30.0
1257500,-15.0
1260000,-25.0
1262500,-30.0
1265000,-25.0
1267500,-35.0
1270000,-30.0
1272500,-35.0
1275000,-35.0
1277500,-20.0
1280000,-20.0
1282500,-25.0
1285000,-35.0
1287500,-30.0
1290000,-20.0
1292500,-35.0
1295000,-30.0
1297500,-25.0
1300000,-40.0
1302500,-25.0
1305000,-40.0
1307500,-35.0
1310000,-30.0
