step,reward
2500,-29.799999237060547
5000,-15.800000190734863
7500,-26.0
10000,-17.399999618530273
12500,-25.399999618530273
15000,-25.399999618530273
17500,-16.200000762939453
20000,-30.200000762939453
22500,-11.800000190734863
25000,-30.200000762939453
27500,-29.799999237060547
30000,-20.799999237060547
32500,-15.0
35000,-15.199999809265137
37500,-16.399999618530273
40000,-21.799999237060547
42500,-7.800000190734863
45000,-20.600000381469727
47500,-10.800000190734863
50000,-25.399999618530273
52500,-25.0
55000,-25.399999618530273
57500,-20.0
60000,-20.200000762939453
62500,-35.0
65000,-20.200000762939453
67500,-20.0
70000,-40.0
72500,-25.600000381469727
75000,-40.20000076293945
77500,-25.399999618530273
80000,-30.600000381469727
82500,-26.0
85000,-30.799999237060547
87500,-30.200000762939453
90000,-20.799999237060547
92500,-16.0
95000,-35.599998474121094
97500,-20.799999237060547
100000,-16.0
102500,-18.799999237060547
105000,-11.399999618530273
107500,-10.199999809265137
110000,-8.199999809265137
112500,-25.399999618530273
115000,-18.0
117500,-14.600000381469727
120000,-2.799999952316284
122500,-2.200000047683716
125000,-2.200000047683716
127500,-2.0
130000,-2.200000047683716
132500,-2.200000047683716
135000,-2.0
137500,-2.4000000953674316
140000,-2.200000047683716
142500,-2.4000000953674316
145000,-2.5999999046325684
147500,-3.0
150000,-2.5999999046325684
152500,-3.0
155000,-2.4000000953674316
157500,-2.200000047683716
160000,-2.200000047683716
162500,-2.5999999046325684
165000,-2.0
167500,-2.799999952316284
170000,-2.200000047683716
172500,-2.200000047683716
175000,-2.799999952316284
177500,-2.799999952316284
180000,-2.4000000953674316
182500,-2.5999999046325684
185000,-2.5999999046325684
187500,-2.200000047683716
190000,-2.799999952316284
192500,-2.200000047683716
195000,-2.799999952316284
197500,-2.799999952316284
200000,-2.5999999046325684
202500,-2.799999952316284
205000,-2.799999952316284
207500,-2.799999952316284
210000,-2.4000000953674316
212500,-2.200000047683716
215000,-3.0
217500,-3.4000000953674316
220000,-2.4000000953674316
222500,-2.5999999046325684
225000,-2.5999999046325684
227500,-2.5999999046325684
230000,-2.200000047683716
232500,-2.200000047683716
235000,-2.200000047683716
237500,-24.0
240000,-44.599998474121094
242500,-7.0
245000,-1.399999976158142
247500,-1.2000000476837158
250000,-2.0
252500,-0.800000011920929
255000,-1.0
257500,-0.800000011920929
260000,-1.2000000476837158
262500,-1.399999976158142
265000,-1.0
267500,-1.7999999523162842
270000,-1.0
272500,-1.0
275000,-3.799999952316284
277500,-3.0
280000,-6.0
282500,-25.0
285000,-5.400000095367432
287500,-16.200000762939453
290000,-2.0
292500,-2.0
295000,-2.0
297500,-2.0
300000,-2.0
302500,-2.0
305000,-2.0
307500,-26.0
310000,-25.0
312500,-20.200000762939453
315000,-20.200000762939453
317500,-29.600000381469727
320000,-25.0
322500,-15.0
325000,-30.0
327500,-25.0
330000,-20.0
332500,-30.0
335000,-30.0
337500,-15.0
340000,-35.0
342500,-40.0
345000,-25.0
347500,-15.0
350000,-20.0
352500,-15.0
355000,-25.0
357500,-30.0
360000,-20.0
362500,-15.0
365000,-18.799999237060547
367500,-40.20000076293945
370000,-30.399999618530273
372500,-42.79999923706055
375000,-40.0
377500,-26.0
380000,-39.79999923706055
382500,-28.600000381469727
385000,-42.400001525878906
387500,-34.0
390000,-37.79999923706055
392500,-25.399999618530273
395000,-36.79999923706055
397500,-20.200000762939453
400000,-30.0
402500,-25.399999618530273
405000,-20.0
407500,-25.0
410000,-35.0
412500,-15.0
415000,-35.0
417500,-30.0
420000,-35.0
422500,-35.0
425000,-25.0
427500,-35.0
430000,-20.0
432500,-30.0
435000,-35.0
437500,-35.0
440000,-30.0
442500,-35.0
445000,-15.0
447500,-30.0
450000,-25.0
452500,-30.0
455000,-25.0
457500,-5.0
460000,-15.0
462500,-35.0
465000,-35.0
467500,-45.0
470000,-25.0
472500,-25.399999618530273
475000,-15.0
477500,-30.0
480000,-40.0
482500,-25.200000762939453
485000,-10.0
