step,reward
2500,-21.399999618530273
5000,-21.600000381469727
7500,-20.200000762939453
10000,-10.399999618530273
12500,-20.0
15000,-20.0
17500,-26.399999618530273
20000,-32.0
22500,-29.600000381469727
25000,-34.400001525878906
27500,-35.0
30000,-25.799999237060547
32500,-21.399999618530273
35000,-21.0
37500,-30.799999237060547
40000,-22.799999237060547
42500,-28.399999618530273
45000,-36.400001525878906
47500,-34.400001525878906
50000,-20.0
52500,-27.200000762939453
55000,-26.799999237060547
57500,-16.0
60000,-20.600000381469727
62500,-15.600000381469727
65000,-29.600000381469727
67500,-21.799999237060547
70000,-31.399999618530273
72500,-30.399999618530273
75000,-21.600000381469727
77500,-17.399999618530273
80000,-25.600000381469727
82500,-20.0
85000,-21.399999618530273
87500,-19.0
90000,-21.200000762939453
92500,-21.0
95000,-30.399999618530273
97500,-37.79999923706055
100000,-29.799999237060547
102500,-30.0
105000,-25.0
107500,-28.799999237060547
110000,-33.20000076293945
112500,-24.600000381469727
115000,-29.600000381469727
117500,-20.799999237060547
120000,-16.600000381469727
122500,-34.400001525878906
125000,-25.200000762939453
127500,-33.79999923706055
130000,-28.0
132500,-26.0
135000,-28.399999618530273
137500,-24.600000381469727
140000,-24.600000381469727
142500,-24.0
145000,-24.200000762939453
147500,-25.399999618530273
150000,-23.0
152500,-25.200000762939453
155000,-26.799999237060547
157500,-28.399999618530273
160000,-26.200000762939453
162500,-26.200000762939453
165000,-27.0
167500,-25.0
170000,-25.0
172500,-28.600000381469727
175000,-17.200000762939453
177500,-29.600000381469727
180000,-12.199999809265137
182500,-24.600000381469727
185000,-31.600000381469727
187500,-24.799999237060547
190000,-23.600000381469727
192500,-27.399999618530273
195000,-26.0
197500,-25.0
200000,-30.799999237060547
202500,-30.600000381469727
205000,-16.799999237060547
207500,-29.799999237060547
210000,-24.799999237060547
212500,-29.0
215000,-30.200000762939453
217500,-15.0
220000,-15.0
222500,-30.0
225000,-19.799999237060547
227500,-29.799999237060547
230000,-25.0
232500,-25.399999618530273
235000,-35.20000076293945
237500,-10.800000190734863
240000,-24.799999237060547
242500,-15.399999618530273
245000,-24.600000381469727
247500,-20.200000762939453
250000,-29.799999237060547
252500,-25.0
255000,-14.800000190734863
257500,-30.0
260000,-39.79999923706055
262500,-20.200000762939453
265000,-33.599998474121094
267500,-22.399999618530273
270000,-25.799999237060547
272500,-27.0
275000,-22.200000762939453
277500,-22.200000762939453
280000,-26.799999237060547
282500,-21.799999237060547
285000,-21.200000762939453
287500,-21.799999237060547
290000,-16.0
292500,-29.200000762939453
295000,-20.399999618530273
297500,-27.600000381469727
300000,-16.0
302500,-20.600000381469727
305000,-20.799999237060547
307500,-34.20000076293945
310000,-15.800000190734863
312500,-21.200000762939453
315000,-24.0
317500,-16.200000762939453
320000,-19.600000381469727
322500,-28.799999237060547
325000,-15.800000190734863
327500,-34.0
330000,-34.400001525878906
332500,-34.400001525878906
335000,-23.399999618530273
337500,-21.600000381469727
340000,-19.0
342500,-14.399999618530273
345000,-26.0
347500,-17.799999237060547
350000,-29.399999618530273
352500,-37.400001525878906
355000,-21.799999237060547
357500,-28.399999618530273
360000,-29.399999618530273
362500,-11.600000381469727
365000,-26.399999618530273
367500,-25.200000762939453
370000,-22.0
372500,-24.399999618530273
375000,-25.399999618530273
377500,-25.799999237060547
380000,-26.0
382500,-22.600000381469727
385000,-21.200000762939453
387500,-23.799999237060547
390000,-21.600000381469727
392500,-20.799999237060547
395000,-27.799999237060547
397500,-25.399999618530273
400000,-17.399999618530273
402500,-25.399999618530273
405000,-42.0
407500,-15.800000190734863
410000,-29.399999618530273
412500,-24.799999237060547
415000,-25.799999237060547
417500,-25.200000762939453
420000,-20.600000381469727
422500,-34.79999923706055
425000,-28.600000381469727
427500,-24.200000762939453
430000,-14.0
432500,-31.799999237060547
435000,-34.599998474121094
437500,-17.200000762939453
440000,-28.200000762939453
442500,-25.399999618530273
445000,-30.200000762939453
447500,-28.600000381469727
450000,-13.600000381469727
452500,-29.0
455000,-20.600000381469727
457500,-29.799999237060547
460000,-24.600000381469727
462500,-16.200000762939453
465000,-11.800000190734863
467500,-30.200000762939453
470000,-16.200000762939453
472500,-12.399999618530273
475000,-34.400001525878906
477500,-25.799999237060547
480000,-31.600000381469727
482500,-30.0
485000,-29.600000381469727
487500,-18.399999618530273
490000,-28.200000762939453
492500,-20.600000381469727
495000,-41.20000076293945
497500,-22.200000762939453
500000,-37.400001525878906
502500,-32.79999923706055
505000,-24.600000381469727
507500,-23.799999237060547
510000,-32.400001525878906
512500,-30.0
515000,-25.399999618530273
517500,-30.0
520000,-24.600000381469727
522500,-29.399999618530273
525000,-19.0
527500,-34.599998474121094
530000,-12.199999809265137
532500,-20.200000762939453
535000,-15.600000381469727
537500,-24.799999237060547
540000,-20.200000762939453
542500,-30.200000762939453
545000,-19.799999237060547
547500,-15.399999618530273
550000,-34.79999923706055
552500,-20.399999618530273
555000,-20.399999618530273
557500,-17.600000381469727
560000,-17.399999618530273
562500,-34.0
565000,-18.799999237060547
567500,-25.0
570000,-34.599998474121094
572500,-29.600000381469727
575000,-20.0
577500,-20.200000762939453
580000,-16.0
582500,-38.20000076293945
585000,-20.399999618530273
587500,-25.200000762939453
590000,-15.199999809265137
592500,-19.399999618530273
595000,-15.0
597500,-9.399999618530273
600000,-20.399999618530273
602500,-3.5999999046325684
605000,-2.200000047683716
607500,-1.2000000476837158
610000,-1.600000023841858
612500,-1.399999976158142
615000,-5.800000190734863
617500,-15.199999809265137
620000,-5.800000190734863
622500,-20.200000762939453
625000,-25.200000762939453
627500,-20.200000762939453
630000,-25.399999618530273
632500,-11.0
635000,-25.0
637500,-34.20000076293945
640000,-25.0
642500,-30.0
645000,-34.400001525878906
647500,-5.199999809265137
650000,-25.0
652500,-15.600000381469727
655000,-29.600000381469727
657500,-15.800000190734863
660000,-29.799999237060547
662500,-20.399999618530273
665000,-29.600000381469727
667500,-25.399999618530273
670000,-34.400001525878906
672500,-10.800000190734863
675000,-38.79999923706055
677500,-19.600000381469727
680000,-15.800000190734863
682500,-34.79999923706055
685000,-24.600000381469727
687500,-34.79999923706055
690000,-19.600000381469727
692500,-35.0
695000,-20.0
697500,-29.600000381469727
700000,-34.400001525878906
702500,-39.79999923706055
705000,-25.0
707500,-19.600000381469727
710000,-30.0
712500,-24.600000381469727
715000,-35.400001525878906
717500,-29.399999618530273
720000,-20.600000381469727
722500,-39.400001525878906
725000,-30.200000762939453
727500,-25.0
730000,-30.0
732500,-25.0
735000,-30.200000762939453
737500,-25.399999618530273
740000,-15.600000381469727
742500,-29.399999618530273
745000,-20.200000762939453
747500,-34.599998474121094
750000,-20.600000381469727
752500,-20.399999618530273
755000,-39.0
757500,-15.600000381469727
760000,-20.399999618530273
762500,-25.200000762939453
765000,-16.0
767500,-10.800000190734863
770000,-25.399999618530273
772500,-25.200000762939453
775000,-25.600000381469727
777500,-24.399999618530273
780000,-30.0
782500,-26.799999237060547
785000,-18.200000762939453
787500,-20.0
790000,-16.799999237060547
792500,-17.0
795000,-21.799999237060547
797500,-16.600000381469727
800000,-27.799999237060547
802500,-23.0
805000,-25.200000762939453
807500,-22.600000381469727
810000,-25.799999237060547
812500,-25.399999618530273
815000,-28.600000381469727
817500,-24.200000762939453
820000,-25.200000762939453
822500,-14.800000190734863
825000,-19.799999237060547
827500,-25.200000762939453
830000,-30.0
832500,-10.399999618530273
835000,-25.600000381469727
837500,-19.399999618530273
840000,-15.199999809265137
842500,-20.799999237060547
845000,-39.79999923706055
847500,-15.600000381469727
850000,-29.200000762939453
852500,-20.0
855000,-29.799999237060547
857500,-25.600000381469727
860000,-30.0
862500,-25.0
865000,-30.0
867500,-34.599998474121094
870000,-20.600000381469727
872500,-25.399999618530273
875000,-26.0
877500,-11.600000381469727
880000,-30.0
882500,-20.200000762939453
885000,-15.399999618530273
887500,-24.799999237060547
890000,-25.399999618530273
892500,-30.0
895000,-25.200000762939453
897500,-5.599999904632568
900000,-15.199999809265137
902500,-24.600000381469727
905000,-25.799999237060547
907500,-34.79999923706055
910000,-26.200000762939453
912500,-34.20000076293945
915000,-30.399999618530273
917500,-23.0
920000,-30.0
922500,-20.200000762939453
925000,-29.399999618530273
927500,-34.400001525878906
930000,-20.399999618530273
932500,-30.0
935000,-15.800000190734863
937500,-26.200000762939453
940000,-20.200000762939453
