step,reward
60750,-12.302347183227539
125500,-12.794275283813477
192250,-8.288416862487793
252250,-5.3288960456848145
316500,-8.894462585449219
378250,-6.484304428100586
444250,-8.060665130615234
508500,-7.688239574432373
574500,-5.1510725021362305
630250,-8.067094802856445
693250,-8.450214385986328
758250,-8.130435943603516
824500,-5.441086292266846
890750,-6.656216144561768
957250,-9.306912422180176
1013500,-9.700740814208984
1071750,-6.203893184661865
1137250,-8.008277893066406
1203750,-7.022929668426514
1269750,-7.6931586265563965
1332000,-7.180438995361328
1392750,-4.656298637390137
1453000,-7.82779598236084
1518750,-8.470001220703125
1584500,-7.179574489593506
1649250,-5.805922508239746
1707250,-5.525287628173828
1773250,-7.031733512878418
1833750,-5.777464389801025
1898750,-8.052620887756348
1963000,-9.001955032348633
2028000,-6.708683967590332
2083500,-7.95654821395874
2142250,-6.667595386505127
2208000,-8.170921325683594
2274000,-9.0802640914917
2339000,-5.091156482696533
2404000,-6.197147369384766
2462000,-9.170293807983398
2523500,-9.230533599853516
2588500,-6.352044105529785
2655000,-6.663620471954346
2720250,-7.22533655166626
2785000,-6.272873401641846
2839750,-6.959037780761719
2902000,-7.372514247894287
2968750,-6.832852363586426
3035250,-6.514354228973389
3101750,-8.055703163146973
3161250,-6.941251754760742
3225000,-9.426854133605957
3285500,-7.789821624755859
3350250,-7.051867485046387
3416500,-5.600532054901123
3482750,-6.087914943695068
3542000,-8.278186798095703
3608000,-6.919656753540039
3670750,-8.554205894470215
3735500,-7.293168067932129
3801250,-7.8601202964782715
3866250,-9.307470321655273
3925000,-4.469976425170898
3981000,-5.589940071105957
4047250,-6.865325927734375
4112500,-4.676864147186279
4178000,-8.65611743927002
4243750,-5.414199352264404
4303250,-6.186669826507568
4362250,-4.859040260314941
4427500,-8.166807174682617
4493500,-4.780397415161133
4559250,-4.295491695404053
4625250,-5.090950012207031
4685000,-6.201171875
4743250,-6.470186233520508
4809250,-7.740787506103516
4875000,-7.398262023925781
4940250,-8.344440460205078
5004750,-6.925142288208008
5064250,-9.983044624328613
5123000,-8.157026290893555
5187500,-6.9990034103393555
5253250,-7.9245924949646
5317500,-8.298822402954102
5378000,-5.177634239196777
5442000,-7.579357147216797
5502250,-6.9958977699279785
5565500,-6.026002407073975
5629750,-7.9199628829956055
5695500,-7.463616847991943
5753250,-6.301029205322266
5818250,-5.370761394500732
5873000,-5.628668785095215
5939250,-7.463319778442383
6004250,-7.437649250030518
6070500,-7.642688751220703
6131000,-7.069268703460693
6192750,-4.834041118621826
6258750,-6.555069446563721
6323250,-6.408604145050049
6388750,-6.735013961791992
6454500,-7.9752936363220215
6511000,-6.104207515716553
6567750,-7.172192096710205
6635250,-9.87070369720459
6700750,-7.229542255401611
6766000,-8.46509075164795
6831500,-6.170475006103516
6892500,-9.979660987854004
6949250,-6.9805827140808105
7015750,-6.549269676208496
7081500,-6.136353015899658
7147250,-7.308041572570801
7214250,-5.639932632446289
7273250,-8.514159202575684
7332000,-5.8169379234313965
7397500,-6.504395961761475
7463500,-7.486720085144043
7529500,-7.653805732727051
7593000,-6.610045433044434
7653000,-5.974114418029785
7714500,-6.246346950531006
7778750,-6.854914665222168
7844250,-5.6091790199279785
7909500,-6.795475482940674
7965750,-6.310480117797852
8031750,-7.754089832305908
8088250,-6.571358680725098
8153250,-8.26711654663086
8219750,-8.878717422485352
8285000,-7.617428302764893
8345250,-5.1997833251953125
8410500,-8.2671537399292
8471000,-9.880900382995605
8536500,-6.242013931274414
8602000,-9.51235580444336
8668000,-6.338683128356934
8726250,-10.192798614501953
8785750,-5.882071018218994
8852000,-8.957244873046875
8916250,-5.722624778747559
8979500,-9.562582015991211
9045250,-9.937931060791016
9103750,-9.898250579833984
9161250,-9.353118896484375
9226250,-8.104761123657227
9290750,-6.697710037231445
9356750,-7.616548538208008
9422500,-10.003985404968262
9483000,-5.262034893035889
9545000,-5.376389026641846
9608000,-7.979593276977539
9673750,-8.204266548156738
9738750,-9.583395004272461
9798500,-3.5927481651306152
9860750,-6.194510459899902
9918000,-7.420993328094482
9983500,-3.8694396018981934
10049500,-5.438343524932861
10115000,-6.540375709533691
10173000,-5.4244232177734375
10238250,-7.184191703796387
10298250,-7.646425724029541
10363000,-6.789557933807373
10427750,-9.357300758361816
10492750,-6.750265121459961
10549500,-6.475513458251953
10610500,-5.276252269744873
10671000,-7.429824352264404
10735500,-6.542571067810059
10798750,-6.3341851234436035
10864000,-5.559697151184082
10919250,-6.229278564453125
10975250,-5.755481243133545
11041000,-5.711867332458496
11106000,-9.23748779296875
11170750,-8.305960655212402
11235250,-6.605750560760498
11292500,-6.501851558685303
11351750,-5.88598108291626
11416750,-6.979939937591553
11482500,-6.869918346405029
11547250,-9.11428451538086
11611750,-5.289522647857666
11670250,-6.581032752990723
11729750,-8.953035354614258
11795250,-7.388579368591309
11862000,-7.505893230438232
11926500,-4.340566635131836
11990500,-6.9892473220825195
12048750,-7.241174697875977
12106750,-9.73605728149414
12172750,-8.408397674560547
12236500,-8.971532821655273
12299250,-5.770087242126465
12358000,-8.848219871520996
12423000,-8.550076484680176
12485250,-5.9283061027526855
12549750,-8.292028427124023
12615500,-4.622395038604736
12680750,-9.859453201293945
12737000,-7.099132061004639
12800750,-8.177350997924805
12861500,-6.104597568511963
12926750,-8.719618797302246
12992500,-11.780643463134766
13056750,-8.536498069763184
13115750,-4.993528842926025
13175000,-5.007961750030518
13240000,-5.613729000091553
13305750,-6.959516525268555
13371250,-8.37459659576416
13435750,-5.276833534240723
13494000,-5.257005214691162
13554250,-7.119426727294922
13619500,-7.656075477600098
13685250,-8.425139427185059
13750250,-8.074009895324707
13814250,-6.957030773162842
13874000,-6.953985691070557
13934250,-7.358960151672363
13998500,-6.708189487457275
14063750,-7.431570053100586
14127750,-6.757714748382568
14187500,-5.834579944610596
14254500,-8.583312034606934
14315250,-6.5701398849487305
14380750,-6.403429985046387
14445250,-6.429605484008789
14510750,-7.272400856018066
14567000,-6.372452735900879
14631750,-6.717909336090088
14687500,-6.234967231750488
14752500,-7.2850117683410645
14818000,-7.728043079376221
14884250,-7.727550029754639
14942250,-6.456366539001465
14999500,-9.724150657653809
15064500,-6.522377967834473
15130500,-6.3497467041015625
15196000,-7.248263835906982
15262250,-5.670610427856445
15319750,-9.15672779083252
15379000,-7.64373779296875
15444000,-5.909217834472656
15510000,-7.5161943435668945
15575500,-6.651971340179443
15639500,-5.12727165222168
15699750,-7.270151615142822
15757750,-10.478357315063477
15822750,-5.335143089294434
15888750,-6.4780073165893555
15955000,-8.458866119384766
16018750,-6.428393840789795
16079500,-7.068753719329834
16139000,-5.565098762512207
16204250,-6.4048333168029785
16269000,-5.748025894165039
16334000,-8.415641784667969
16392000,-6.731704235076904
16457250,-6.162143230438232
16519000,-7.069499969482422
16584500,-5.229166030883789
16649250,-8.226880073547363
16714000,-8.477668762207031
16773000,-8.807548522949219
16835000,-5.004660606384277
16896000,-5.767253398895264
16961000,-6.648618221282959
17026500,-8.119929313659668
17091750,-4.67828369140625
17149500,-6.6916351318359375
17210000,-5.5239667892456055
17274750,-10.29123306274414
17338750,-7.10050106048584
17404500,-6.378841400146484
17469500,-7.794322967529297
17527500,-8.796758651733398
17584750,-9.116680145263672
17650750,-8.780594825744629
17715750,-6.2054948806762695
17781500,-8.699400901794434
17845750,-8.137462615966797
17904000,-8.696525573730469
17965250,-7.165561676025391
18030250,-7.603152275085449
18096000,-9.4800386428833
18161750,-7.065031051635742
18226500,-8.123862266540527
18288750,-6.903378009796143
18347750,-7.3576979637146
18412750,-5.018274784088135
18477500,-6.356616497039795
18542500,-7.252727031707764
18600500,-8.26236629486084
18665500,-7.077727794647217
18726250,-8.020462989807129
18791500,-9.77385425567627
18858000,-5.716203212738037
18923500,-6.98191499710083
18982000,-10.465547561645508
19040000,-7.001689434051514
19104750,-6.215151309967041
19169750,-6.076382160186768
19234500,-8.561208724975586
19298000,-7.793086051940918
19355000,-6.662402629852295
19410500,-5.1945953369140625
19496250,-7.067060947418213
19556250,-10.6063232421875
19630250,-9.063591957092285
19703750,-5.897709846496582
19777500,-6.260380268096924
19839750,-6.426019191741943
19913500,-7.110012531280518
19977250,-6.862639427185059
