step,reward
61250,-11.617080688476562
127750,-6.4992289543151855
194500,-7.648068904876709
258750,-8.572277069091797
330000,-6.111948490142822
413750,-7.315463542938232
473250,-6.516997814178467
539000,-9.141318321228027
604000,-8.402347564697266
670000,-6.314122200012207
731750,-8.765780448913574
789000,-6.878975868225098
851500,-10.24152660369873
917750,-8.297416687011719
983500,-5.971001148223877
1049000,-6.671485900878906
1115000,-7.761080741882324
1172000,-12.615336418151855
1238000,-7.920448303222656
1303750,-8.359506607055664
1370000,-7.234360694885254
1436000,-8.261340141296387
1497500,-6.036036491394043
1554000,-10.53487491607666
1621000,-8.470149993896484
1686000,-6.624731540679932
1752750,-4.789779186248779
1815000,-5.947956085205078
1881250,-7.987818241119385
1938000,-7.570695877075195
2004750,-8.256237983703613
2070250,-6.697150230407715
2135750,-10.190396308898926
2196250,-5.930648326873779
2253000,-9.350129127502441
2316000,-7.343602180480957
2383000,-7.875254154205322
2446250,-6.14267635345459
2512500,-6.275972843170166
2577000,-9.616087913513184
2635250,-7.264768123626709
2701750,-6.016325950622559
2763750,-8.072453498840332
2828250,-4.94301700592041
2894250,-6.71513557434082
2953500,-8.089468002319336
3013000,-5.49988317489624
3078000,-6.868558883666992
3143500,-7.893993854522705
3208750,-6.031349182128906
3270750,-6.8345160484313965
3336000,-7.78494930267334
3393500,-8.401378631591797
3460250,-5.847789764404297
3526750,-7.1803059577941895
3592750,-6.818908214569092
3657500,-7.584657192230225
3717500,-6.743056297302246
3782250,-5.549415111541748
3848500,-7.410441875457764
3914750,-11.138571739196777
3981250,-7.141921520233154
4041000,-8.205217361450195
4101750,-7.833878993988037
4167500,-9.853199005126953
4231500,-7.5244951248168945
4298250,-8.151968002319336
4364250,-4.762953758239746
4421000,-8.191919326782227
4480000,-8.78490161895752
4547000,-4.970179080963135
4611000,-8.024185180664062
4677500,-5.875416278839111
4742500,-9.772940635681152
4801250,-5.877813816070557
4858750,-8.99712085723877
4922500,-7.496974945068359
4989500,-6.376719951629639
5054500,-5.971306324005127
5117250,-7.063269138336182
5181000,-11.8914213180542
5240250,-6.53883171081543
5306250,-7.299741268157959
5372000,-7.0641093254089355
5437750,-6.112281799316406
5497750,-6.299649715423584
5563500,-6.8353352546691895
5623000,-9.3408784866333
5688250,-7.109321117401123
5753250,-8.320101737976074
5818250,-6.542675971984863
5877750,-8.33786392211914
5940750,-8.098021507263184
6000750,-5.993592739105225
6064500,-7.09601354598999
6128000,-8.373963356018066
6193250,-5.787578105926514
6255250,-5.5472517013549805
6312750,-6.7112226486206055
6379500,-6.825932025909424
6446250,-4.616604804992676
6512000,-4.44685173034668
6578500,-7.320993900299072
6640000,-8.5868558883667
6700250,-6.453652381896973
6766750,-6.1362996101379395
6833000,-6.467653274536133
6898750,-6.381646633148193
6964250,-8.167920112609863
7025500,-7.042362689971924
7084500,-6.90254020690918
7150750,-7.247550010681152
7217000,-6.561974048614502
7283750,-5.44688081741333
7348000,-7.078929424285889
7412750,-7.9658589363098145
7473500,-5.561225414276123
7538750,-7.005102157592773
7604000,-6.017026901245117
7670750,-5.0957770347595215
7728000,-6.899214267730713
7792500,-9.044522285461426
7853750,-5.122766971588135
7919750,-8.311088562011719
7987000,-5.475782871246338
8053750,-6.054081916809082
8112250,-7.37385368347168
8170500,-8.194496154785156
8236000,-5.1878581047058105
8300500,-7.83347225189209
8366250,-4.8182854652404785
8432500,-6.696951389312744
8495750,-5.1337151527404785
8554000,-5.947197914123535
8620000,-7.9460601806640625
8685250,-7.9673261642456055
8751500,-7.344703197479248
8818000,-8.290332794189453
8877000,-8.19594669342041
8936250,-8.946920394897461
9000500,-6.563230037689209
9065500,-5.766839981079102
9132500,-7.491326332092285
9197500,-8.361191749572754
9261250,-6.158148288726807
9318750,-5.828740119934082
9383500,-6.992732048034668
9449250,-8.14603328704834
9514500,-9.711027145385742
