step,reward
61000,-16.009004592895508
127000,-10.39822006225586
194000,-8.01915454864502
259750,-9.886805534362793
328750,-8.52156925201416
412000,-8.378897666931152
470750,-7.380340099334717
537750,-8.579291343688965
604000,-9.911395072937012
671500,-5.074861526489258
733750,-8.37273120880127
790750,-8.775087356567383
853500,-8.987560272216797
919750,-7.630339622497559
986250,-8.105622291564941
1052000,-6.849788665771484
1114250,-7.91727352142334
1173250,-7.497060298919678
1239500,-6.840527057647705
1304750,-11.79027271270752
1371000,-7.790067672729492
1436500,-7.4904093742370605
1498250,-6.620909690856934
1556250,-6.706557750701904
1623000,-8.85037612915039
1689500,-7.708536148071289
1755000,-7.702484607696533
1813000,-8.178021430969238
1879000,-6.307363986968994
1936250,-5.960124492645264
2002500,-6.5562639236450195
2068000,-10.041961669921875
2134000,-5.561963081359863
2195250,-8.139893531799316
2251750,-7.151744842529297
2315000,-8.031301498413086
2381250,-6.36230993270874
2446750,-4.870299816131592
2513250,-7.907160758972168
2573000,-8.263705253601074
2630750,-8.82501220703125
2696250,-3.5816526412963867
2763000,-9.291281700134277
2827750,-5.929391860961914
2894250,-6.067241191864014
2957000,-6.849555492401123
3016500,-5.242015361785889
3082500,-4.434063911437988
3149000,-5.9817585945129395
3215750,-8.687634468078613
3281500,-7.536471843719482
3343250,-10.163326263427734
3402000,-9.036733627319336
3468500,-6.711593151092529
3534750,-5.744400501251221
3600750,-9.164896011352539
3658000,-5.388949871063232
3724500,-5.498373508453369
3785250,-6.272894859313965
3851250,-6.634322166442871
3917500,-6.998549461364746
3984750,-5.921066761016846
4045250,-8.48524284362793
4108000,-7.698611736297607
4171750,-5.938925743103027
4236500,-10.130943298339844
4303250,-7.322838306427002
4369250,-9.318921089172363
4426750,-7.5316948890686035
4487000,-5.825724124908447
4553000,-7.13995361328125
4620000,-9.08061695098877
4686750,-7.918544769287109
4752250,-4.754387378692627
4810750,-8.07182502746582
4867000,-6.716579914093018
4932500,-9.061259269714355
4998500,-6.08040189743042
5064250,-7.920961856842041
5131250,-5.247896671295166
5188250,-8.798882484436035
5247750,-5.590964317321777
5314000,-6.8267059326171875
5380500,-6.233855724334717
5444250,-5.466013431549072
5509500,-8.16321849822998
5571500,-5.203299045562744
5630000,-8.941781997680664
5696000,-9.282279968261719
5762000,-6.243368148803711
5827750,-7.4842400550842285
5883750,-6.520302772521973
5950500,-6.312370300292969
6007750,-9.015951156616211
6072750,-9.895500183105469
6138750,-6.341373443603516
6203750,-7.6626176834106445
6265000,-5.373834133148193
6330000,-7.396793842315674
6391750,-5.709545612335205
6458750,-8.247103691101074
6525500,-4.825225353240967
6592500,-8.310795783996582
6654500,-7.442295551300049
6714500,-8.967669486999512
6780250,-13.331952095031738
6845750,-9.650325775146484
6913000,-6.572205066680908
6978750,-8.831064224243164
7041500,-7.741909980773926
7100250,-6.032622337341309
7166000,-7.719237327575684
7231750,-8.428638458251953
7298500,-7.479807376861572
7364750,-4.383616924285889
7425500,-8.98933219909668
7483000,-9.552449226379395
7549000,-11.383696556091309
7615000,-5.321471214294434
7682000,-6.402500152587891
7745500,-9.049886703491211
7808000,-7.036258220672607
7867500,-5.682463645935059
7934000,-6.355621814727783
8001000,-6.593449115753174
8067250,-7.4467902183532715
8130500,-6.5606369972229
8197000,-6.154961585998535
8255250,-5.515824794769287
8320500,-6.600213050842285
8386750,-5.707801818847656
8453750,-7.167994022369385
8513250,-6.788201332092285
8574250,-6.748473167419434
8640000,-7.753546714782715
8706250,-8.533726692199707
8772250,-9.06107234954834
8838250,-8.128514289855957
8901250,-5.143370628356934
8959250,-9.96120548248291
9023750,-8.519640922546387
9089500,-8.650964736938477
9154750,-6.581811428070068
9221500,-6.377659320831299
9279000,-8.453574180603027
9335750,-7.26024055480957
9402000,-5.713688373565674
9467000,-5.927295684814453
9532500,-5.005930423736572
9598750,-4.267270565032959
9657750,-6.770234107971191
9716000,-3.9778761863708496
9781750,-5.205338954925537
9847000,-6.021457195281982
9913250,-7.057392597198486
9975000,-5.752228736877441
10036750,-6.595739841461182
10097750,-5.985256671905518
10162500,-6.833284378051758
10229250,-7.211133003234863
10294250,-6.926355361938477
10356250,-5.219791412353516
10421750,-9.169781684875488
10481250,-5.600531101226807
10547750,-7.776641368865967
10614500,-6.84609317779541
10680250,-6.939204216003418
10739250,-6.737673282623291
10799500,-6.760328769683838
10864250,-7.813220024108887
10929500,-9.402519226074219
10993750,-6.82416296005249
11058750,-6.671969413757324
