step,reward
46000,7.0
95000,2.0
144000,8.0
193000,1.0
242000,5.0
291000,3.0
340000,12.0
389000,4.0
438000,7.0
497000,8.0
562000,3.0
628000,3.0
703000,1.0
753000,3.0
802000,1.0
851000,4.0
900000,0.0
949000,0.0
998000,2.0
1047000,5.0
1096000,11.0
1145000,0.0
1194000,0.0
1243000,8.0
1292000,5.0
1341000,8.0
1390000,2.0
1439000,0.0
1488000,0.0
1537000,2.0
1586000,4.0
1635000,2.0
1684000,3.0
1733000,1.0
1782000,2.0
1831000,1.0
1880000,6.0
1929000,4.0
1978000,1.0
2027000,2.0
2076000,2.0
2125000,9.0
2174000,13.0
2223000,11.0
2272000,2.0
2321000,2.0
2370000,4.0
2419000,2.0
2468000,0.0
2517000,4.0
2566000,5.0
2615000,6.0
2664000,2.0
2713000,0.0
2762000,2.0
2811000,7.0
2860000,2.0
2909000,1.0
2959000,4.0
3009000,2.0
3058000,0.0
3107000,0.0
3157000,1.0
3207000,3.0
3256000,4.0
3305000,2.0
3354000,9.0
3403000,14.0
3452000,0.0
3501000,5.0
3550000,0.0
3599000,0.0
3648000,0.0
3697000,2.0
3746000,1.0
3795000,0.0
3845000,3.0
3894000,2.0
3943000,2.0
3992000,0.0
4042000,5.0
4091000,0.0
4140000,1.0
4189000,1.0
4238000,1.0
4287000,4.0
4336000,0.0
4385000,9.0
4434000,1.0
4483000,3.0
4532000,0.0
4581000,0.0
4631000,9.0
4680000,1.0
4729000,2.0
4778000,4.0
4827000,1.0
4876000,2.0
4925000,0.0
4974000,2.0
5023000,2.0
5072000,0.0
5121000,5.0
5170000,1.0
5219000,2.0
5268000,5.0
5317000,8.0
5366000,1.0
5416000,3.0
5467000,4.0
5516000,0.0
5565000,3.0
5614000,6.0
5663000,4.0
5712000,3.0
5761000,2.0
5810000,3.0
5859000,6.0
5908000,0.0
5957000,2.0
6006000,3.0
6055000,2.0
6104000,1.0
6153000,0.0
6202000,1.0
6251000,7.0
6300000,8.0
6349000,10.0
6398000,0.0
6447000,1.0
6496000,3.0
6545000,4.0
6594000,4.0
6643000,5.0
6692000,1.0
6741000,3.0
6790000,3.0
6839000,3.0
6888000,6.0
6937000,1.0
6987000,4.0
7036000,5.0
7085000,2.0
7134000,0.0
7183000,2.0
7232000,0.0
7281000,2.0
7330000,1.0
7379000,0.0
7429000,3.0
7478000,1.0
7527000,0.0
7576000,0.0
7625000,3.0
7674000,2.0
7723000,1.0
7772000,1.0
7821000,3.0
7870000,4.0
7919000,2.0
7968000,6.0
8017000,1.0
8066000,3.0
8115000,1.0
8164000,4.0
8213000,5.0
8262000,7.0
8311000,4.0
8360000,3.0
8409000,6.0
8458000,1.0
8507000,3.0
8556000,3.0
8605000,4.0
8654000,4.0
8703000,0.0
8752000,2.0
8801000,1.0
8850000,2.0
8899000,0.0
8948000,2.0
8998000,3.0
9048000,2.0
9097000,3.0
9147000,2.0
9196000,4.0
9245000,3.0
9294000,2.0
9343000,2.0
9392000,0.0
9441000,2.0
9490000,0.0
9539000,0.0
9588000,3.0
9638000,2.0
9687000,2.0
9736000,1.0
9785000,4.0
9835000,1.0
9884000,10.0
9933000,3.0
9982000,0.0
10031000,1.0
10080000,3.0
10129000,0.0
10178000,1.0
10227000,0.0
10276000,1.0
10325000,4.0
10374000,0.0
10423000,2.0
10472000,0.0
10521000,3.0
10570000,0.0
10619000,11.0
10668000,4.0
10717000,2.0
10766000,2.0
10815000,2.0
10864000,1.0
10913000,1.0
10962000,2.0
11011000,0.0
11060000,3.0
11109000,3.0
11158000,4.0
11207000,0.0
11256000,1.0
11305000,0.0
11354000,5.0
11403000,0.0
11453000,3.0
11502000,4.0
11551000,1.0
11600000,5.0
11649000,1.0
11699000,6.0
11748000,1.0
11797000,0.0
11847000,1.0
11896000,7.0
11946000,1.0
11995000,6.0
12044000,3.0
12093000,3.0
12142000,2.0
12191000,1.0
12240000,4.0
12289000,3.0
12338000,1.0
12387000,6.0
12437000,1.0
12486000,0.0
12535000,0.0
12584000,0.0
12633000,7.0
12682000,0.0
12732000,1.0
12781000,0.0
12830000,1.0
12879000,3.0
12928000,2.0
12977000,6.0
13026000,3.0
13075000,1.0
13124000,4.0
13173000,10.0
13222000,0.0
13271000,2.0
13320000,2.0
13369000,0.0
13418000,0.0
13468000,2.0
13517000,4.0
13566000,0.0
13615000,2.0
13664000,4.0
13713000,3.0
13762000,5.0
13811000,1.0
13860000,2.0
13909000,3.0
13958000,2.0
14007000,9.0
14056000,0.0
14105000,0.0
14154000,5.0
14203000,4.0
14252000,2.0
14301000,2.0
14350000,1.0
14399000,1.0
14448000,0.0
14497000,0.0
14546000,1.0
14595000,2.0
14644000,2.0
14693000,0.0
14742000,2.0
14792000,0.0
14841000,2.0
14890000,1.0
14939000,3.0
14988000,3.0
15037000,0.0
15086000,3.0
15135000,3.0
15184000,0.0
15233000,4.0
15282000,2.0
15331000,2.0
15380000,1.0
15429000,0.0
15478000,7.0
15527000,2.0
15576000,2.0
15625000,4.0
15674000,3.0
15723000,2.0
15772000,4.0
15821000,0.0
15870000,6.0
15919000,2.0
15968000,1.0
16017000,0.0
16066000,5.0
16115000,4.0
16164000,2.0
16214000,3.0
16264000,2.0
16313000,3.0
16362000,1.0
16411000,3.0
16460000,5.0
16509000,1.0
16558000,1.0
16607000,2.0
16656000,0.0
16705000,3.0
16754000,7.0
16803000,1.0
16853000,1.0
16902000,1.0
16951000,2.0
17000000,3.0
17049000,2.0
17099000,4.0
17148000,1.0
17197000,2.0
17246000,2.0
17295000,3.0
17344000,2.0
17393000,1.0
17442000,2.0
17491000,1.0
17540000,3.0
17589000,2.0
17638000,0.0
17687000,6.0
17736000,4.0
17785000,0.0
17834000,3.0
17883000,3.0
17932000,0.0
17981000,4.0
18030000,1.0
18079000,4.0
18128000,1.0
18177000,5.0
18226000,6.0
18275000,5.0
18324000,3.0
18373000,3.0
18422000,4.0
18471000,0.0
18520000,2.0
18569000,2.0
18618000,0.0
18667000,0.0
18716000,7.0
18765000,4.0
18814000,0.0
18863000,0.0
18912000,0.0
18961000,0.0
19010000,2.0
19059000,1.0
19109000,0.0
19158000,1.0
19207000,0.0
19256000,0.0
19305000,7.0
19354000,1.0
19404000,2.0
19453000,0.0
19502000,0.0
19551000,1.0
19600000,2.0
19649000,0.0
19698000,3.0
19747000,3.0
19796000,2.0
19845000,1.0
19894000,6.0
19943000,3.0
20001000,0.0
