step,reward
46000,6.0
95000,9.0
144000,0.0
193000,10.0
242000,0.0
291000,10.0
340000,4.0
389000,0.0
438000,2.0
487000,2.0
536000,4.0
585000,5.0
634000,1.0
683000,2.0
732000,2.0
781000,3.0
830000,0.0
879000,0.0
928000,3.0
977000,1.0
1026000,4.0
1075000,0.0
1124000,1.0
1173000,6.0
1222000,0.0
1271000,5.0
1320000,4.0
1369000,1.0
1418000,2.0
1467000,1.0
1516000,14.0
1565000,6.0
1614000,1.0
1663000,5.0
1712000,2.0
1761000,3.0
1810000,2.0
1859000,2.0
1908000,1.0
1957000,10.0
2006000,1.0
2055000,10.0
2104000,2.0
2153000,2.0
2202000,3.0
2251000,4.0
2300000,3.0
2349000,9.0
2398000,4.0
2448000,3.0
2497000,0.0
2546000,3.0
2595000,4.0
2644000,4.0
2693000,1.0
2742000,1.0
2792000,3.0
2841000,5.0
2890000,2.0
2939000,2.0
2988000,0.0
3037000,3.0
3086000,1.0
3135000,10.0
3184000,2.0
3233000,2.0
3282000,1.0
3331000,2.0
3380000,2.0
3429000,7.0
3478000,4.0
3527000,0.0
3576000,8.0
3625000,4.0
3674000,1.0
3723000,1.0
3772000,4.0
3821000,5.0
3869000,6.0
3918000,0.0
3967000,3.0
4016000,3.0
4065000,0.0
4114000,5.0
4163000,4.0
4212000,2.0
4261000,0.0
4310000,0.0
4359000,4.0
4408000,8.0
4457000,6.0
4506000,0.0
4555000,10.0
4604000,2.0
4653000,5.0
4702000,3.0
4751000,0.0
4800000,6.0
4849000,3.0
4898000,10.0
4947000,7.0
4996000,6.0
5045000,2.0
5094000,0.0
5143000,4.0
5192000,7.0
5241000,0.0
5290000,3.0
5339000,1.0
5388000,5.0
5437000,3.0
5486000,10.0
5535000,9.0
5584000,2.0
5633000,1.0
5682000,2.0
5731000,2.0
5780000,0.0
5829000,4.0
5878000,0.0
5927000,6.0
5976000,5.0
6025000,0.0
6074000,3.0
6123000,4.0
6172000,3.0
6221000,2.0
6270000,0.0
6319000,11.0
6368000,0.0
6417000,3.0
6466000,3.0
6515000,2.0
6564000,2.0
6613000,12.0
6662000,2.0
6711000,3.0
6760000,4.0
6809000,0.0
6858000,3.0
6907000,4.0
6956000,3.0
7005000,5.0
7054000,1.0
7103000,3.0
7152000,7.0
7201000,2.0
7250000,1.0
7299000,4.0
7348000,1.0
7397000,0.0
7446000,4.0
7495000,8.0
7544000,4.0
7593000,5.0
7642000,2.0
7691000,12.0
7740000,12.0
7789000,2.0
7838000,1.0
7886000,1.0
7935000,2.0
7984000,5.0
8033000,2.0
8082000,2.0
8131000,3.0
8180000,1.0
8229000,1.0
8278000,5.0
8327000,3.0
8376000,5.0
8425000,0.0
8474000,8.0
8523000,1.0
8572000,5.0
8621000,3.0
8670000,0.0
8719000,0.0
8768000,4.0
8817000,3.0
8866000,8.0
8915000,0.0
8964000,12.0
9013000,0.0
9062000,23.0
9111000,2.0
9160000,10.0
9209000,8.0
9258000,3.0
9307000,2.0
9356000,4.0
9405000,5.0
9454000,3.0
9503000,5.0
9551000,5.0
9600000,0.0
9649000,4.0
9698000,7.0
9747000,7.0
9796000,5.0
9845000,3.0
9894000,0.0
9943000,3.0
9992000,0.0
10041000,1.0
10090000,2.0
10139000,2.0
10188000,2.0
10237000,10.0
10286000,5.0
10335000,9.0
10384000,6.0
10433000,3.0
10482000,2.0
10531000,6.0
10580000,4.0
10629000,0.0
10678000,0.0
10727000,5.0
10776000,9.0
10825000,6.0
10874000,1.0
10923000,2.0
10972000,2.0
11021000,4.0
11070000,2.0
11119000,4.0
11168000,2.0
11217000,2.0
11266000,1.0
11315000,3.0
11364000,5.0
11413000,1.0
11462000,6.0
11511000,8.0
11560000,5.0
11609000,8.0
11658000,4.0
11707000,5.0
11756000,0.0
11805000,10.0
11854000,3.0
11903000,3.0
11952000,4.0
12001000,3.0
12050000,3.0
12099000,4.0
12148000,2.0
12197000,3.0
12246000,5.0
12295000,7.0
12344000,8.0
12393000,0.0
12442000,4.0
12491000,0.0
12540000,8.0
12589000,10.0
12638000,0.0
12687000,1.0
12736000,1.0
12785000,15.0
12834000,4.0
12883000,3.0
12932000,3.0
12981000,3.0
13030000,10.0
13079000,3.0
13128000,3.0
13177000,14.0
13226000,5.0
13275000,4.0
13324000,4.0
13373000,5.0
13422000,4.0
13471000,1.0
13520000,7.0
13569000,2.0
13618000,7.0
13667000,3.0
13716000,4.0
13765000,0.0
13814000,4.0
13863000,6.0
13912000,4.0
13961000,6.0
14010000,8.0
14059000,0.0
14108000,8.0
14157000,3.0
14206000,0.0
14255000,5.0
14304000,10.0
14353000,6.0
14402000,4.0
14451000,0.0
14500000,3.0
14549000,3.0
14598000,3.0
14647000,7.0
14696000,2.0
14745000,2.0
14794000,0.0
14843000,10.0
14892000,5.0
14941000,5.0
14990000,7.0
15039000,3.0
15088000,5.0
15137000,5.0
15186000,2.0
15235000,1.0
15284000,9.0
15333000,7.0
15382000,10.0
15431000,6.0
15480000,7.0
15529000,4.0
15578000,2.0
15627000,4.0
15676000,0.0
15725000,5.0
15774000,5.0
15823000,1.0
15872000,4.0
15921000,9.0
15970000,6.0
16019000,3.0
16068000,3.0
16117000,4.0
16166000,7.0
16215000,0.0
16264000,4.0
16313000,1.0
16362000,1.0
16411000,3.0
16460000,1.0
16509000,1.0
16558000,4.0
16607000,4.0
16656000,0.0
16705000,0.0
16754000,0.0
16803000,0.0
16852000,2.0
16901000,2.0
16950000,2.0
16999000,3.0
17048000,5.0
17097000,1.0
17146000,4.0
17195000,5.0
17244000,3.0
17293000,3.0
17342000,4.0
17391000,5.0
17440000,4.0
17490000,2.0
17539000,3.0
17588000,3.0
17637000,14.0
17686000,0.0
17735000,4.0
17784000,2.0
17833000,6.0
17882000,8.0
17931000,2.0
17980000,2.0
18030000,2.0
18079000,8.0
18128000,7.0
18177000,5.0
18226000,3.0
18275000,0.0
18324000,6.0
18373000,0.0
18422000,6.0
18471000,2.0
18520000,2.0
18569000,3.0
18619000,7.0
18668000,3.0
18717000,1.0
18766000,4.0
18815000,6.0
18864000,2.0
18913000,5.0
18962000,2.0
19011000,2.0
19060000,2.0
19109000,3.0
19158000,0.0
19207000,1.0
19256000,2.0
19317000,0.0
19386000,3.0
19435000,11.0
19484000,2.0
19533000,7.0
19583000,11.0
19632000,10.0
19681000,0.0
19730000,4.0
19779000,1.0
19828000,4.0
19888000,1.0
19947000,1.0
