step,reward
46000,1.0
95000,8.0
145000,7.0
194000,2.0
243000,13.0
292000,11.0
341000,4.0
390000,8.0
439000,9.0
488000,7.0
537000,12.0
586000,7.0
635000,14.0
684000,7.0
734000,15.0
783000,15.0
832000,19.0
881000,9.0
930000,3.0
979000,13.0
1028000,8.0
1077000,9.0
1126000,5.0
1175000,21.0
1224000,8.0
1273000,5.0
1322000,5.0
1371000,17.0
1420000,3.0
1469000,12.0
1518000,2.0
1567000,7.0
1616000,2.0
1665000,6.0
1714000,4.0
1763000,7.0
1812000,10.0
1861000,1.0
1910000,12.0
1959000,10.0
2008000,4.0
2057000,4.0
2106000,3.0
2155000,10.0
2204000,4.0
2253000,0.0
2302000,7.0
2351000,3.0
2401000,7.0
2450000,11.0
2499000,5.0
2548000,17.0
2597000,10.0
2646000,6.0
2695000,0.0
2744000,6.0
2793000,2.0
2842000,4.0
2891000,3.0
2940000,0.0
2989000,3.0
3038000,8.0
3087000,2.0
3136000,8.0
3185000,4.0
3234000,3.0
3283000,4.0
3332000,12.0
3381000,4.0
3430000,4.0
3479000,0.0
3528000,2.0
3577000,10.0
3626000,17.0
3675000,6.0
3724000,8.0
3773000,8.0
3822000,0.0
3871000,6.0
3920000,0.0
3969000,17.0
4018000,4.0
4067000,6.0
4116000,4.0
4165000,2.0
4214000,12.0
4263000,6.0
4312000,0.0
4361000,12.0
4410000,0.0
4459000,3.0
4508000,0.0
4557000,12.0
4606000,6.0
4655000,10.0
4704000,23.0
4753000,9.0
4802000,5.0
4851000,8.0
4900000,3.0
4949000,2.0
4998000,7.0
5047000,6.0
5096000,1.0
5145000,2.0
5194000,8.0
5243000,8.0
5292000,23.0
5341000,3.0
5390000,3.0
5439000,4.0
5488000,2.0
5537000,2.0
5587000,2.0
5636000,1.0
5685000,4.0
5734000,1.0
5783000,4.0
5832000,9.0
5881000,11.0
5930000,11.0
5979000,16.0
6028000,6.0
6077000,9.0
6126000,4.0
6175000,9.0
6224000,8.0
