step,reward
46000,6.0
95000,7.0
144000,6.0
193000,4.0
242000,1.0
291000,0.0
340000,1.0
389000,6.0
438000,2.0
487000,1.0
536000,1.0
585000,3.0
634000,0.0
683000,0.0
732000,1.0
781000,3.0
830000,4.0
879000,3.0
928000,1.0
977000,5.0
1026000,2.0
1075000,5.0
1124000,0.0
1173000,5.0
1222000,7.0
1271000,0.0
1320000,1.0
1369000,2.0
1418000,2.0
1468000,0.0
1517000,4.0
1566000,6.0
1615000,3.0
1664000,1.0
1713000,2.0
1762000,0.0
1811000,5.0
1860000,3.0
1909000,5.0
1958000,10.0
2007000,6.0
2056000,8.0
2105000,3.0
2154000,4.0
2203000,2.0
2252000,3.0
2301000,4.0
2350000,12.0
2399000,0.0
2448000,7.0
2497000,1.0
2546000,2.0
2595000,5.0
2644000,7.0
2693000,0.0
2742000,3.0
2791000,2.0
2840000,5.0
2889000,9.0
2938000,6.0
2987000,7.0
3036000,1.0
3085000,2.0
3134000,6.0
3183000,2.0
3232000,1.0
3281000,4.0
3330000,3.0
3379000,3.0
3428000,1.0
3477000,6.0
3526000,3.0
3575000,0.0
3624000,5.0
3673000,4.0
3722000,4.0
3771000,1.0
3820000,4.0
3869000,2.0
3918000,1.0
3967000,4.0
4016000,5.0
4065000,0.0
4114000,7.0
4163000,7.0
4212000,1.0
4261000,5.0
4310000,0.0
4359000,2.0
4408000,0.0
4457000,3.0
4506000,1.0
4555000,5.0
4604000,8.0
4653000,5.0
4702000,4.0
4751000,3.0
4800000,6.0
4849000,12.0
4898000,2.0
4947000,2.0
4996000,3.0
5045000,8.0
5094000,12.0
5143000,5.0
5192000,3.0
5241000,4.0
5290000,11.0
5339000,5.0
5388000,2.0
5437000,1.0
5486000,6.0
5535000,0.0
5584000,7.0
5633000,0.0
5682000,2.0
5731000,0.0
5780000,9.0
5829000,1.0
5878000,7.0
5927000,5.0
5976000,4.0
6025000,8.0
6074000,3.0
6123000,1.0
6172000,8.0
6222000,1.0
6271000,2.0
6320000,0.0
6369000,5.0
6418000,0.0
6467000,0.0
6516000,3.0
6565000,2.0
6614000,1.0
6663000,1.0
6712000,0.0
6761000,0.0
6810000,0.0
6859000,0.0
6908000,4.0
6957000,0.0
7006000,4.0
7055000,5.0
7104000,6.0
7153000,3.0
7202000,5.0
7251000,0.0
7300000,2.0
7349000,2.0
7398000,4.0
7447000,6.0
