step,reward
2500,7.0
5000,5.0
7500,4.0
10000,0.0
12500,3.0
15000,15.0
17500,5.0
20000,4.0
22500,5.0
25000,2.0
27500,0.0
30000,2.0
32500,3.0
35000,4.0
37500,5.0
40000,14.0
42500,0.0
45000,6.0
47500,5.0
50000,3.0
52500,2.0
55000,3.0
57500,5.0
60000,7.0
62500,10.0
65000,4.0
67500,4.0
70000,4.0
72500,2.0
75000,11.0
77500,4.0
80000,3.0
82500,11.0
85000,1.0
87500,6.0
90000,7.0
92500,8.0
95000,2.0
97500,8.0
100000,9.0
102500,6.0
105000,5.0
107500,6.0
110000,13.0
112500,2.0
115000,13.0
117500,12.0
120000,4.0
122500,11.0
125000,13.0
127500,2.0
130000,10.0
132500,0.0
135000,9.0
137500,8.0
140000,2.0
142500,10.0
145000,4.0
147500,4.0
150000,1.0
152500,1.0
155000,5.0
157500,4.0
160000,16.0
162500,19.0
165000,15.0
167500,18.0
170000,6.0
172500,6.0
175000,14.0
177500,5.0
180000,15.0
182500,3.0
185000,23.0
187500,9.0
190000,14.0
192500,5.0
195000,10.0
197500,20.0
200000,6.0
202500,6.0
205000,5.0
207500,10.0
210000,16.0
212500,2.0
215000,3.0
217500,5.0
220000,5.0
222500,5.0
225000,0.0
227500,7.0
230000,14.0
232500,1.0
235000,11.0
237500,7.0
240000,3.0
242500,5.0
245000,2.0
247500,15.0
250000,0.0
252500,1.0
255000,6.0
257500,5.0
260000,1.0
262500,3.0
265000,8.0
267500,4.0
270000,4.0
272500,6.0
275000,7.0
277500,8.0
280000,1.0
282500,1.0
285000,2.0
287500,3.0
290000,9.0
292500,4.0
295000,0.0
297500,10.0
300000,0.0
302500,2.0
305000,18.0
307500,1.0
310000,5.0
312500,7.0
315000,9.0
317500,2.0
320000,9.0
322500,9.0
325000,1.0
327500,3.0
330000,4.0
332500,1.0
335000,10.0
337500,7.0
340000,13.0
342500,5.0
345000,8.0
347500,4.0
350000,4.0
352500,9.0
355000,3.0
357500,8.0
360000,2.0
362500,7.0
365000,2.0
367500,1.0
370000,7.0
372500,3.0
375000,12.0
377500,6.0
380000,5.0
382500,4.0
385000,4.0
387500,13.0
390000,12.0
392500,2.0
395000,2.0
397500,9.0
400000,7.0
402500,2.0
405000,11.0
407500,6.0
410000,7.0
412500,2.0
415000,4.0
417500,1.0
420000,10.0
422500,6.0
425000,11.0
427500,2.0
430000,15.0
432500,1.0
435000,3.0
437500,13.0
440000,2.0
442500,7.0
445000,14.0
447500,16.0
450000,5.0
452500,4.0
455000,5.0
457500,5.0
460000,7.0
462500,18.0
465000,10.0
467500,3.0
470000,5.0
472500,9.0
475000,16.0
477500,5.0
480000,16.0
482500,4.0
485000,11.0
487500,9.0
490000,12.0
492500,20.0
495000,12.0
497500,7.0
500000,7.0
502500,11.0
505000,4.0
507500,3.0
510000,4.0
512500,8.0
515000,4.0
517500,10.0
520000,3.0
522500,5.0
525000,11.0
527500,18.0
530000,12.0
532500,27.0
535000,13.0
537500,14.0
540000,11.0
542500,5.0
545000,11.0
547500,14.0
550000,12.0
552500,17.0
555000,3.0
557500,3.0
560000,6.0
562500,3.0
565000,14.0
567500,10.0
570000,3.0
572500,4.0
575000,8.0
577500,14.0
580000,12.0
582500,3.0
585000,6.0
587500,10.0
590000,9.0
592500,7.0
595000,10.0
597500,7.0
600000,4.0
602500,6.0
605000,9.0
607500,6.0
610000,9.0
612500,13.0
615000,13.0
617500,9.0
620000,5.0
622500,5.0
625000,4.0
627500,0.0
630000,2.0
632500,3.0
635000,3.0
637500,2.0
640000,9.0
642500,15.0
645000,10.0
647500,3.0
650000,3.0
652500,1.0
655000,6.0
657500,6.0
660000,2.0
662500,5.0
665000,11.0
667500,9.0
670000,12.0
672500,4.0
675000,2.0
677500,10.0
680000,7.0
682500,9.0
685000,6.0
687500,6.0
690000,4.0
692500,12.0
695000,5.0
697500,8.0
700000,16.0
702500,5.0
705000,2.0
707500,4.0
710000,8.0
712500,6.0
715000,4.0
717500,2.0
720000,1.0
722500,15.0
725000,7.0
727500,3.0
730000,2.0
732500,7.0
735000,3.0
737500,14.0
740000,1.0
742500,7.0
745000,12.0
747500,0.0
750000,16.0
752500,4.0
755000,5.0
757500,6.0
760000,13.0
762500,1.0
765000,2.0
767500,3.0
770000,4.0
772500,6.0
775000,5.0
777500,5.0
780000,8.0
782500,2.0
785000,4.0
787500,3.0
790000,7.0
792500,1.0
795000,3.0
797500,4.0
800000,8.0
802500,3.0
805000,4.0
807500,8.0
810000,4.0
812500,1.0
815000,3.0
817500,6.0
820000,6.0
822500,9.0
825000,4.0
