step,reward
10000,-12.301009178161621
20000,-5.24330997467041
30000,-14.086410522460938
40000,-11.605883598327637
50000,-13.995675086975098
60000,-11.005698204040527
70000,-14.16236400604248
80000,-27.89276885986328
90000,-27.208160400390625
100000,-12.916048049926758
110000,-14.58720588684082
120000,-14.390315055847168
130000,-17.269508361816406
140000,-36.67317581176758
150000,-38.689823150634766
160000,-37.69948196411133
170000,-42.79498291015625
180000,-45.61561965942383
190000,-46.90226745605469
200000,-48.61770248413086
210000,-55.7441520690918
220000,-46.92924118041992
230000,-70.22688293457031
240000,-73.30681610107422
250000,-93.39031219482422
260000,-97.29138946533203
270000,-107.95665740966797
280000,-125.97006225585938
290000,-120.72588348388672
300000,-86.79562377929688
310000,-108.22799682617188
320000,-114.4400634765625
330000,-99.37516784667969
340000,-104.91140747070312
350000,-105.62604522705078
360000,-102.12371063232422
370000,-67.23397827148438
380000,-86.75813293457031
390000,-92.65080261230469
400000,-110.7327880859375
410000,-103.07939147949219
420000,-83.0583267211914
430000,-85.3815689086914
440000,-116.42627716064453
450000,-107.70579528808594
460000,-79.71819305419922
470000,-94.14834594726562
480000,-112.95624542236328
490000,-137.74981689453125
500000,-125.5262222290039
510000,-102.9265365600586
520000,-88.22340393066406
530000,-125.69081115722656
540000,-117.61100769042969
550000,-122.74040985107422
560000,-117.00484466552734
570000,-112.59837341308594
580000,-128.09149169921875
590000,-129.9645538330078
600000,-121.62162017822266
610000,-122.5630874633789
620000,-106.35160827636719
630000,-119.7614517211914
640000,-137.8411865234375
650000,-144.43515014648438
660000,-110.2759017944336
670000,-101.97662353515625
680000,-102.5085220336914
690000,-125.64350891113281
700000,-121.3252182006836
710000,-139.8175811767578
720000,-131.17742919921875
730000,-134.103759765625
740000,-116.10916900634766
750000,-114.54712677001953
760000,-127.85011291503906
770000,-125.18519592285156
780000,-112.93477630615234
790000,-120.40525817871094
800000,-116.1321029663086
810000,-128.04995727539062
820000,-113.44112396240234
830000,-135.39340209960938
840000,-133.81784057617188
850000,-136.0268096923828
860000,-113.6853256225586
870000,-139.46505737304688
880000,-141.50120544433594
890000,-133.64010620117188
900000,-115.373779296875
910000,-107.51068878173828
920000,-122.42706298828125
930000,-138.5049285888672
940000,-130.75608825683594
950000,-117.6346664428711
960000,-139.0158233642578
970000,-113.41214752197266
980000,-133.07473754882812
990000,-141.343994140625
1000000,-130.6100311279297
1010000,-161.5774383544922
1020000,-141.30340576171875
1030000,-137.63510131835938
1040000,-111.6234359741211
1050000,-115.02214050292969
1060000,-139.13824462890625
1070000,-120.36825561523438
1080000,-139.3494415283203
1090000,-126.85334014892578
1100000,-145.38294982910156
1110000,-145.140869140625
1120000,-105.66651153564453
1130000,-135.5978546142578
1140000,-119.65096282958984
1150000,-156.03907775878906
1160000,-144.2911376953125
1170000,-119.1786880493164
1180000,-133.48443603515625
1190000,-104.5243911743164
1200000,-150.67529296875
1210000,-147.00743103027344
1220000,-151.40798950195312
1230000,-105.8907699584961
1240000,-123.48075103759766
1250000,-130.62646484375
1260000,-109.24312591552734
1270000,-137.33460998535156
1280000,-141.74110412597656
1290000,-129.72360229492188
1300000,-104.3278579711914
1310000,-141.068115234375
1320000,-162.18243408203125
1330000,-165.3872528076172
1340000,-130.98391723632812
1350000,-140.80621337890625
1360000,-147.0927734375
1370000,-157.21670532226562
1380000,-96.91552734375
1390000,-130.2816162109375
1400000,-141.6736602783203
1410000,-137.73016357421875
1420000,-129.5670623779297
1430000,-117.51983642578125
1440000,-136.20159912109375
1450000,-103.3853988647461
1460000,-142.0455322265625
1470000,-109.5825424194336
1480000,-130.82533264160156
1490000,-135.36602783203125
1500000,-107.56723022460938
1510000,-133.01182556152344
1520000,-146.66622924804688
1530000,-129.69845581054688
1540000,-128.68670654296875
1550000,-142.36270141601562
1560000,-117.61046600341797
1570000,-127.648193359375
1580000,-131.59803771972656
1590000,-126.51136016845703
1600000,-135.23641967773438
1610000,-134.77903747558594
1620000,-150.22727966308594
1630000,-145.92767333984375
1640000,-144.31398010253906
1650000,-161.5917205810547
1660000,-121.98442840576172
1670000,-142.73187255859375
1680000,-122.57080841064453
1690000,-141.42486572265625
1700000,-130.77613830566406
1710000,-135.5327911376953
1720000,-155.36863708496094
1730000,-124.38562774658203
1740000,-134.34523010253906
1750000,-141.22802734375
1760000,-124.61424255371094
1770000,-156.0537109375
1780000,-137.98605346679688
1790000,-117.5494155883789
1800000,-140.67930603027344
1810000,-143.04322814941406
1820000,-133.04078674316406
1830000,-140.79234313964844
1840000,-119.72907257080078
1850000,-146.556640625
1860000,-130.8845672607422
1870000,-153.77870178222656
1880000,-136.9180145263672
1890000,-129.29200744628906
1900000,-132.4368133544922
1910000,-147.7474365234375
1920000,-185.39697265625
1930000,-116.16236114501953
1940000,-143.7450714111328
1950000,-150.98829650878906
1960000,-99.91223907470703
1970000,-134.5427703857422
1980000,-124.3477554321289
1990000,-145.99111938476562
2000000,-126.85088348388672
2010000,-122.48074340820312
2020000,-143.1673126220703
2030000,-99.71128845214844
2040000,-115.310546875
2050000,-126.70015716552734
2060000,-131.93124389648438
2070000,-151.15415954589844
2080000,-131.56341552734375
2090000,-146.7568817138672
2100000,-143.06031799316406
2110000,-150.78591918945312
2120000,-136.81552124023438
2130000,-139.86114501953125
2140000,-128.23402404785156
2150000,-153.5015411376953
2160000,-117.54840850830078
2170000,-140.4013671875
2180000,-165.9878387451172
2190000,-138.10182189941406
2200000,-134.0579376220703
2210000,-150.7554931640625
2220000,-129.0830078125
2230000,-124.46388244628906
2240000,-141.74093627929688
2250000,-134.6521453857422
2260000,-136.41856384277344
2270000,-140.4928436279297
2280000,-148.97755432128906
2290000,-141.58078002929688
2300000,-97.70558166503906
2310000,-149.58641052246094
2320000,-142.82456970214844
2330000,-121.6086196899414
2340000,-140.84600830078125
2350000,-124.70576477050781
2360000,-157.87100219726562
2370000,-138.96067810058594
2380000,-170.73292541503906
2390000,-123.97087097167969
2400000,-160.34844970703125
2410000,-144.01760864257812
2420000,-137.1263885498047
2430000,-150.23379516601562
2440000,-123.11565399169922
2450000,-167.60458374023438
2460000,-147.98202514648438
2470000,-141.9806671142578
2480000,-116.32056427001953
2490000,-129.2097930908203
2500000,-166.14193725585938
2510000,-129.3510284423828
2520000,-113.21299743652344
2530000,-100.92163848876953
2540000,-103.49336242675781
2550000,-109.72477722167969
2560000,-120.31912994384766
2570000,-93.62206268310547
2580000,-114.72696685791016
2590000,-107.00135803222656
2600000,-104.74491882324219
2610000,-90.72598266601562
2620000,-117.72667694091797
2630000,-102.3502426147461
2640000,-76.52776336669922
2650000,-69.62181854248047
2660000,-92.16696166992188
2670000,-91.10255432128906
2680000,-94.60285949707031
2690000,-80.37796020507812
2700000,-87.25839233398438
2710000,-87.50220489501953
2720000,-94.10142517089844
2730000,-73.09066009521484
2740000,-104.25422668457031
2750000,-125.81822204589844
2760000,-85.12399291992188
2770000,-80.87309265136719
2780000,-82.35126495361328
2790000,-94.15364837646484
2800000,-113.6148910522461
2810000,-115.47913360595703
2820000,-100.60775756835938
2830000,-71.26714324951172
2840000,-101.41898345947266
2850000,-108.89311981201172
2860000,-104.64324951171875
2870000,-101.8413314819336
2880000,-103.14761352539062
2890000,-106.752685546875
2900000,-73.5296859741211
2910000,-90.4736557006836
2920000,-100.9056167602539
2930000,-99.79969024658203
2940000,-96.0442886352539
2950000,-88.21285247802734
2960000,-97.22068786621094
2970000,-86.67292785644531
2980000,-102.13626098632812
2990000,-110.50849914550781
3000000,-116.68318939208984
3010000,-102.4728775024414
3020000,-104.08979797363281
3030000,-122.09219360351562
3040000,-93.14205169677734
3050000,-94.52018737792969
3060000,-78.29872131347656
3070000,-111.58564758300781
3080000,-112.28751373291016
3090000,-101.55872344970703
3100000,-81.45172119140625
3110000,-94.59500122070312
3120000,-110.86151885986328
3130000,-94.75603485107422
3140000,-94.05552673339844
3150000,-92.63983154296875
3160000,-82.47492980957031
3170000,-124.91238403320312
3180000,-106.91193389892578
3190000,-115.80899047851562
3200000,-99.2002182006836
3210000,-114.83155822753906
3220000,-95.7143783569336
3230000,-102.73480987548828
3240000,-98.16584777832031
3250000,-99.68932342529297
3260000,-111.64917755126953
3270000,-104.28614807128906
3280000,-119.90128326416016
3290000,-109.46063232421875
3300000,-72.34037017822266
3310000,-98.8433837890625
3320000,-92.00431823730469
3330000,-98.07830047607422
3340000,-92.28282165527344
3350000,-95.73583984375
3360000,-100.30562591552734
3370000,-99.64845275878906
3380000,-83.49821472167969
3390000,-119.22567749023438
3400000,-136.4954833984375
3410000,-126.04251861572266
3420000,-90.4811019897461
3430000,-86.9604263305664
3440000,-110.82308959960938
3450000,-93.52674102783203
3460000,-87.01481628417969
3470000,-98.29801177978516
3480000,-100.11235809326172
3490000,-90.42776489257812
3500000,-84.187255859375
3510000,-95.46537780761719
3520000,-95.82945251464844
3530000,-84.99163818359375
3540000,-107.2177734375
3550000,-100.47607421875
3560000,-122.08869171142578
3570000,-110.69795227050781
3580000,-98.37556457519531
3590000,-111.382080078125
3600000,-78.66851043701172
3610000,-93.95577239990234
3620000,-102.74071502685547
3630000,-129.4514923095703
3640000,-99.17350769042969
3650000,-122.37300109863281
3660000,-96.50666046142578
3670000,-81.14026641845703
3680000,-109.34497833251953
3690000,-102.84786224365234
3700000,-94.2780990600586
3710000,-104.69406127929688
3720000,-102.46778869628906
3730000,-88.87785339355469
3740000,-119.82927703857422
3750000,-103.40577697753906
3760000,-129.26678466796875
3770000,-79.82400512695312
3780000,-126.34199523925781
3790000,-90.50682830810547
3800000,-62.805355072021484
3810000,-113.38374328613281
3820000,-91.8569107055664
3830000,-83.28201293945312
3840000,-102.48823547363281
3850000,-82.187744140625
3860000,-123.07112884521484
3870000,-117.25208282470703
3880000,-99.02031707763672
3890000,-101.72691345214844
3900000,-100.14180755615234
3910000,-107.38735961914062
3920000,-114.65360260009766
3930000,-110.98900604248047
3940000,-91.80984497070312
3950000,-96.7487564086914
3960000,-85.5256576538086
3970000,-95.64735412597656
3980000,-119.12232208251953
3990000,-82.90739440917969
4000000,-95.45409393310547
4010000,-105.04877471923828
4020000,-109.24006652832031
4030000,-105.65982055664062
4040000,-97.92266082763672
4050000,-101.87767028808594
4060000,-87.07128143310547
4070000,-84.22608947753906
4080000,-95.00325775146484
4090000,-97.40480041503906
4100000,-109.87452697753906
4110000,-103.05548858642578
4120000,-102.1546401977539
4130000,-98.5049057006836
4140000,-110.35595703125
4150000,-120.64415740966797
4160000,-108.65840148925781
4170000,-88.31046295166016
4180000,-122.68203735351562
4190000,-93.43064880371094
4200000,-115.73772430419922
4210000,-107.88264465332031
4220000,-111.05890655517578
4230000,-101.56129455566406
4240000,-98.31562805175781
4250000,-113.53546142578125
4260000,-90.16254425048828
4270000,-97.11112213134766
4280000,-94.33448791503906
4290000,-99.83368682861328
4300000,-106.9926986694336
4310000,-97.90486145019531
4320000,-90.4490737915039
4330000,-107.3530044555664
4340000,-98.6431655883789
4350000,-87.2422866821289
4360000,-104.45001983642578
4370000,-102.07142639160156
4380000,-118.60611724853516
4390000,-35.74164962768555
4400000,-14.38643741607666
4410000,-29.08992576599121
4420000,-30.21635627746582
4430000,-20.361637115478516
4440000,-22.136781692504883
4450000,-16.808399200439453
4460000,-68.69357299804688
4470000,-49.29500198364258
4480000,-31.769840240478516
4490000,-62.10942077636719
4500000,-39.01319122314453
4510000,-26.29889488220215
4520000,-24.91785430908203
4530000,-53.13035202026367
4540000,-38.56528091430664
4550000,-57.981929779052734
4560000,-69.86463165283203
4570000,-33.22626876831055
4580000,-32.805660247802734
4590000,-54.643089294433594
4600000,-47.77442169189453
4610000,-69.69518280029297
4620000,-61.97430419921875
4630000,-52.04866027832031
4640000,-50.79750442504883
4650000,-37.22486114501953
4660000,-76.85625457763672
4670000,-44.6787223815918
4680000,-67.19782257080078
4690000,-35.426570892333984
4700000,-84.94873809814453
4710000,-73.35445404052734
4720000,-70.33271026611328
4730000,-91.40284729003906
4740000,-84.05758666992188
4750000,-51.8880729675293
4760000,-67.02049255371094
4770000,-53.07936477661133
4780000,-87.48521423339844
4790000,-80.65229034423828
4800000,-98.92455291748047
4810000,-53.29876708984375
4820000,-82.98416900634766
4830000,-158.2890167236328
4840000,-76.93096160888672
4850000,-78.07288360595703
4860000,-87.27742767333984
4870000,-77.46600341796875
4880000,-69.01984405517578
4890000,-89.6326675415039
4900000,-53.71061706542969
4910000,-100.42805480957031
4920000,-106.40304565429688
4930000,-117.64508819580078
4940000,-74.89952087402344
4950000,-66.21765899658203
4960000,-113.25098419189453
4970000,-80.72794342041016
4980000,-97.25762939453125
4990000,-108.2301025390625
5000000,-121.39109802246094
5010000,-91.48825073242188
5020000,-87.53053283691406
5030000,-111.66836547851562
5040000,-106.66777038574219
5050000,-84.77042388916016
5060000,-88.00497436523438
5070000,-145.96649169921875
5080000,-72.99991607666016
5090000,-75.43727111816406
5100000,-108.1632308959961
5110000,-100.56133270263672
5120000,-106.38214111328125
5130000,-80.41653442382812
5140000,-146.49142456054688
5150000,-34.960853576660156
5160000,-101.79061889648438
5170000,-70.6429672241211
5180000,-71.3255844116211
5190000,-119.02083587646484
5200000,-81.87008666992188
5210000,-79.8309326171875
5220000,-58.8145866394043
5230000,-100.24919891357422
5240000,-62.1056022644043
5250000,-77.61621856689453
5260000,-60.43310546875
5270000,-104.5607681274414
5280000,-120.82720184326172
5290000,-89.61711120605469
5300000,-89.90631866455078
5310000,-119.31985473632812
5320000,-95.93702697753906
5330000,-74.21089935302734
5340000,-107.98211669921875
5350000,-109.06189727783203
5360000,-137.91268920898438
5370000,-130.07159423828125
5380000,-129.7434844970703
5390000,-130.5892333984375
5400000,-128.1753692626953
5410000,-118.05722045898438
5420000,-113.50567626953125
5430000,-151.2407989501953
5440000,-111.2171630859375
