step,reward
2500,3.0
5000,11.0
7500,5.0
10000,8.0
12500,3.0
15000,8.0
17500,7.0
20000,9.0
22500,5.0
25000,7.0
27500,4.0
30000,3.0
32500,4.0
35000,3.0
37500,0.0
40000,5.0
42500,10.0
45000,6.0
47500,5.0
50000,4.0
52500,6.0
55000,3.0
57500,1.0
60000,1.0
62500,6.0
65000,3.0
67500,1.0
70000,2.0
72500,3.0
75000,5.0
77500,4.0
80000,2.0
82500,0.0
85000,2.0
87500,3.0
90000,0.0
92500,3.0
95000,2.0
97500,4.0
100000,5.0
102500,1.0
105000,3.0
107500,5.0
110000,0.0
112500,3.0
115000,1.0
117500,4.0
120000,7.0
122500,3.0
125000,4.0
127500,2.0
130000,4.0
132500,2.0
135000,8.0
137500,2.0
140000,7.0
142500,4.0
145000,7.0
147500,6.0
150000,4.0
152500,3.0
155000,9.0
157500,1.0
160000,0.0
162500,6.0
165000,0.0
167500,3.0
170000,13.0
172500,6.0
175000,7.0
177500,3.0
180000,3.0
182500,2.0
185000,5.0
187500,3.0
190000,4.0
192500,11.0
195000,8.0
197500,4.0
200000,5.0
202500,2.0
205000,5.0
207500,5.0
210000,5.0
212500,0.0
215000,3.0
217500,1.0
220000,1.0
222500,8.0
225000,2.0
227500,1.0
230000,5.0
232500,5.0
235000,18.0
237500,4.0
240000,3.0
242500,16.0
245000,4.0
247500,3.0
250000,2.0
252500,5.0
255000,9.0
257500,6.0
260000,4.0
262500,13.0
265000,4.0
267500,9.0
270000,6.0
272500,6.0
275000,7.0
277500,5.0
280000,2.0
282500,5.0
285000,3.0
287500,3.0
290000,5.0
292500,6.0
295000,9.0
297500,3.0
300000,2.0
302500,1.0
305000,9.0
307500,10.0
310000,4.0
312500,2.0
315000,3.0
317500,7.0
320000,6.0
322500,3.0
325000,3.0
327500,3.0
330000,3.0
332500,12.0
335000,3.0
337500,3.0
340000,8.0
342500,1.0
345000,2.0
347500,4.0
350000,9.0
352500,2.0
355000,2.0
357500,3.0
360000,9.0
362500,8.0
365000,0.0
367500,2.0
370000,1.0
372500,2.0
375000,0.0
377500,5.0
380000,0.0
382500,5.0
385000,3.0
387500,0.0
390000,2.0
392500,5.0
395000,1.0
397500,5.0
400000,3.0
402500,2.0
405000,2.0
407500,1.0
410000,3.0
412500,2.0
415000,5.0
417500,4.0
420000,1.0
422500,4.0
425000,0.0
427500,2.0
430000,8.0
432500,5.0
435000,5.0
437500,4.0
440000,2.0
442500,1.0
445000,3.0
447500,6.0
450000,4.0
452500,1.0
455000,1.0
457500,10.0
460000,1.0
462500,2.0
465000,5.0
467500,4.0
470000,2.0
472500,4.0
475000,3.0
477500,2.0
480000,3.0
482500,3.0
485000,1.0
487500,7.0
490000,5.0
492500,7.0
495000,6.0
497500,5.0
500000,5.0
502500,6.0
505000,6.0
507500,1.0
510000,2.0
512500,3.0
515000,4.0
517500,3.0
520000,5.0
522500,3.0
525000,3.0
527500,6.0
530000,6.0
532500,4.0
535000,5.0
537500,1.0
540000,13.0
542500,1.0
545000,4.0
547500,11.0
550000,4.0
552500,4.0
555000,2.0
557500,2.0
560000,9.0
562500,5.0
565000,7.0
567500,4.0
570000,4.0
572500,7.0
575000,13.0
577500,13.0
580000,3.0
582500,2.0
585000,2.0
587500,6.0
590000,6.0
592500,3.0
595000,5.0
597500,8.0
600000,6.0
602500,11.0
605000,7.0
607500,17.0
610000,6.0
612500,4.0
615000,2.0
617500,10.0
620000,2.0
622500,1.0
625000,8.0
627500,11.0
630000,3.0
632500,10.0
635000,3.0
637500,1.0
640000,5.0
642500,1.0
645000,2.0
647500,3.0
650000,1.0
652500,7.0
655000,1.0
657500,11.0
660000,3.0
662500,6.0
665000,9.0
667500,10.0
670000,6.0
672500,6.0
675000,3.0
677500,5.0
680000,6.0
682500,3.0
685000,5.0
687500,6.0
690000,9.0
692500,7.0
695000,6.0
697500,9.0
700000,3.0
702500,0.0
705000,8.0
707500,4.0
710000,14.0
712500,2.0
715000,8.0
717500,10.0
720000,7.0
722500,4.0
725000,9.0
727500,5.0
730000,7.0
732500,7.0
735000,2.0
737500,5.0
740000,5.0
742500,4.0
745000,5.0
747500,10.0
750000,8.0
752500,5.0
755000,7.0
757500,8.0
760000,5.0
762500,6.0
765000,13.0
767500,4.0
770000,1.0
772500,8.0
775000,4.0
777500,6.0
780000,0.0
782500,3.0
785000,7.0
787500,5.0
790000,9.0
792500,4.0
795000,4.0
797500,9.0
800000,10.0
802500,3.0
805000,6.0
807500,8.0
810000,5.0
812500,4.0
815000,6.0
817500,6.0
820000,16.0
822500,12.0
825000,15.0
827500,8.0
830000,9.0
832500,8.0
835000,1.0
837500,5.0
840000,14.0
842500,11.0
845000,10.0
847500,7.0
850000,3.0
852500,7.0
855000,7.0
857500,2.0
860000,3.0
862500,3.0
865000,7.0
867500,6.0
870000,10.0
872500,6.0
875000,4.0
877500,6.0
880000,14.0
882500,8.0
885000,4.0
887500,9.0
890000,18.0
892500,9.0
895000,5.0
897500,3.0
900000,4.0
902500,2.0
905000,9.0
907500,8.0
910000,9.0
912500,12.0
915000,15.0
917500,20.0
920000,8.0
922500,9.0
925000,3.0
927500,8.0
930000,10.0
932500,12.0
935000,20.0
937500,3.0
940000,6.0
942500,4.0
945000,11.0
947500,11.0
950000,1.0
952500,11.0
955000,15.0
957500,4.0
960000,6.0
962500,17.0
965000,5.0
967500,5.0
970000,7.0
972500,5.0
975000,10.0
977500,11.0
980000,5.0
982500,15.0
985000,16.0
987500,14.0
990000,5.0
992500,5.0
995000,11.0
997500,8.0
1000000,14.0
1002500,5.0
1005000,12.0
1007500,14.0
1010000,13.0
1012500,7.0
1015000,4.0
1017500,5.0
1020000,6.0
1022500,7.0
1025000,10.0
1027500,5.0
1030000,2.0
1032500,13.0
1035000,4.0
1037500,6.0
1040000,5.0
1042500,1.0
1045000,11.0
1047500,9.0
1050000,6.0
1052500,12.0
1055000,15.0
1057500,5.0
1060000,7.0
1062500,9.0
